Input: 32768*(32768/64)
Compilador: icx
Flags: -g -std=c11 -ffast-math  -Wall -Wextra -Werror -O3 -march=native
Ejecucion: taskset -c 0,1 ./headless
Compilacion: Makefile
Cambios: Se agreggo un arreglo de fotones

Resultados:

Hierarchy Level	Metric Name	Metric Value				
0	Elapsed Time	34.07013				
1	CPU Time	8.197687				
1	Performance-core (P-core)					
2	Memory Bound	0.4				
3	L1 Bound	13.3				
3	L2 Bound	0				
3	L3 Bound	0				
3	DRAM Bound	0				
3	Store Bound	0.1				
1	Efficient-core (E-core)					
2	Memory Bound	0				
3	L1 Bound	0				
3	L2 Bound	0				
3	L3 Bound	0				
3	DRAM Bound	0				
1	Uncore					
2	DRAM Bandwidth Bound	0				
1	Loads	27543858518				
1	Stores	16831133440				
1	LLC Miss Count	0				
1	Average Latency (cycles)	4.730591				
1	Total Thread Count	2				
1	Paused Time	0				
0	Bandwidth Utilization					
0	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)	
0	DRAM	 GB/sec	56	12.5	0.244202	0
0	Collection and Platform Info					
1	Application Command Line	./headless 				
1	Operating System	6.11.0-19-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.2 LTS"				
1	Computer Name	Camilo649				
1	Result Size	62563705				
1	Collection start time	03:01:17 24/03/2025 UTC				
1	Collection stop time	03:01:51 24/03/2025 UTC				
1	Collector Type	Driverless Perf system-wide sampling				
1	CPU					
2	Name	Intel(R) microarchitecture code named Raptorlake-P				
2	Frequency	2611200026				
2	Logical CPU Count	12				
2	Max DRAM Single-Package Bandwidth	56000000000				
2	Cache Allocation Technology					
3	Level 2 capability	not detected				
3	Level 3 capability	not detected				
				




