Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.136682
1	CPU Time	0.717907
1	Performance-core (P-core)	
2	Memory Bound	7.8
3	L1 Bound	22.0
3	L2 Bound	0.0
3	L3 Bound	0.0
3	DRAM Bound	0.0
3	Store Bound	0.0
1	Efficient-core (E-core)	
2	Memory Bound	17.1
3	L1 Bound	17.1
3	L2 Bound	0.0
3	L3 Bound	0.0
3	DRAM Bound	0.0
1	Uncore	
2	DRAM Bandwidth Bound	0.0
1	Loads	1163032689
1	Stores	919825338
1	LLC Miss Count	0
1	Average Latency (cycles)	4.594254
1	Total Thread Count	2
1	Paused Time	0.0
0	Bandwidth Utilization	
0	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
0	DRAM, GB/sec	57.000000	25.000000	1.865078	0.0
0	Collection and Platform Info	
1	Application Command Line	./headless 
1	Operating System	6.11.0-19-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.2 LTS"
1	Computer Name	Camilo649
1	Result Size	9367301
1	Collection start time	05:16:56 17/03/2025 UTC
1	Collection stop time	05:16:57 17/03/2025 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-P
2	Frequency	2611200198
2	Logical CPU Count	12
2	Max DRAM Single-Package Bandwidth	57000000000.000000
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
